source_id,target_id,edge_kind,shared_length_m,centroid_dist_m,walk_dist_m,walk_time_min,cross_arterial,cross_rail,cross_river,cross_elevated,has_crossing_facility,crossing_type,barrier_cost,angular_cost,edge_cost,edge_conductance,edge_weight_norm
plot_10012,plot_4657,proximity_bridge,0.0,148.577,181.264,2.1752,0,0,1,0,0,,4.0,0.0,6.1752,0.19065024037251216,0.027681
plot_10012,plot_9888,proximity_bridge,0.0,136.229,166.2,1.9944,0,0,1,0,0,,4.0,0.0,5.9944,0.194831785362146,0.028288
plot_10031,plot_1014,parcel_touch,24.572,67.787,82.7,0.9924,0,0,0,0,0,,0.0,0.0,0.9924,0.887729677112974,0.189302
plot_10031,plot_1015,proximity_bridge,0.0,101.301,123.587,1.483,0,0,0,0,0,,0.0,0.0,1.483,0.3347903607421082,0.071391
plot_10031,plot_1016,proximity_bridge,0.0,124.882,152.356,1.8283,0,0,0,0,0,,0.0,0.0,1.8283,0.3212014662927094,0.068494
plot_10031,plot_1017,proximity_bridge,0.0,111.888,136.503,1.638,0,0,0,0,0,,0.0,0.0,1.638,0.32862081467769155,0.070076
plot_10031,plot_1020,proximity_bridge,0.0,153.908,187.768,2.2532,0,1,0,0,0,,5.0,0.0,7.2532,0.16751628109489378,0.035722
plot_10031,plot_1021,proximity_bridge,0.0,119.028,145.214,1.7426,0,0,0,0,0,,0.0,0.0,1.7426,0.3245217457863601,0.069202
plot_10031,plot_843,parcel_touch,264.131,112.389,137.115,1.6454,0,0,0,0,0,,0.0,0.0,1.6454,0.8208228223047513,0.175034
plot_10031,plot_977,parcel_touch,65.259,171.79,209.584,2.515,0,0,0,0,0,,0.0,0.0,2.515,0.7394859472902569,0.15769
plot_10031,plot_979,parcel_touch,159.132,152.619,186.196,2.2344,0,0,0,0,0,,0.0,0.0,2.2344,0.76480987917274,0.16309
plot_10032,plot_1022,proximity_bridge,0.0,124.649,152.072,1.8249,0,0,0,0,0,,0.0,0.0,1.8249,0.32133254322883353,0.105309
plot_10032,plot_1023,parcel_touch,129.313,89.548,109.249,1.311,0,0,0,0,0,,0.0,0.0,1.311,0.8544305972750438,0.280018
plot_10032,plot_1024,proximity_bridge,0.0,149.185,182.006,2.1841,0,0,0,0,0,,0.0,0.0,2.1841,0.3077760927799462,0.100866
plot_10032,plot_920,parcel_touch,101.43,135.977,165.892,1.9907,0,0,0,0,0,,0.0,0.0,1.9907,0.7875062277969753,0.258086
plot_10032,plot_980,parcel_touch,206.278,141.214,172.281,2.0674,0,0,0,0,0,,0.0,0.0,2.0674,0.7802912746244909,0.255721
