unit_id,t_id,global_state,p_G1,p_G2,p_G3,p_G4,p_G5,p_G6,p_G7
plot_18965,WD_AM,G7,0.0,0.0,0.0,0.0,2.816540581372429e-25,0.0,0.9999999999989999
plot_18966,WD_AM,G7,0.0,7.78421593159104e-30,0.0,0.0,6.962129836459531e-58,0.0,0.9999999999989999
plot_18967,WD_AM,G7,0.0,1.610431265552843e-30,0.0,0.0,1.3660700462250883e-58,0.0,0.9999999999989999
plot_18968,WD_AM,G7,0.0,0.0,0.0,0.0,1.3635031307964494e-61,0.0,0.9999999999989999
plot_18969,WD_AM,G7,0.0,7.791079229480133e-32,0.0,0.0,2.290474398879886e-59,0.0,0.9999999999989999
plot_18971,WD_AM,G1,0.9999999999993605,3.270507078378535e-23,0.0,0.0,4.8933259718213755e-42,1.2980017693294894e-15,0.0
plot_18972,WD_AM,G7,0.0,4.213981483518155e-31,0.0,0.0,5.276531015785523e-60,0.0,0.9999999999989999
plot_18973,WD_AM,G7,0.0,2.09940710340805e-31,0.0,0.0,1.9427956458113055e-60,0.0,0.9999999999989999
plot_18974,WD_AM,G7,0.0,0.0,0.0,0.0,1.2953463576374415e-62,0.0,0.9999999999989999
plot_18977,WD_AM,G5,0.0,0.0,0.0,0.0,0.999999999999095,0.0,0.0
plot_18979,WD_AM,G3,0.0,8.37441235110983e-29,0.9999999999991759,0.0,8.307092908695173e-45,1.1749634819390195e-14,0.0
plot_18990,WD_AM,G2,0.0,0.9999999999989999,0.0,0.0,1.5661939874560515e-26,0.0,0.0
plot_18991,WD_AM,G3,1.9684101909299194e-09,0.0,0.9999999980307773,0.0,3.52021571504301e-46,0.0,0.0
plot_18993,WD_AM,G7,0.0,9.791454061662785e-29,0.0,0.0,4.88209251587424e-58,0.0,0.9999999999989999
plot_18995,WD_AM,G6,0.0,5.644563392191557e-22,0.0,0.0,2.5327835709588587e-38,0.9999999999989999,0.0
plot_18999,WD_AM,G7,0.0,1.1308172054956402e-29,0.0,0.0,9.757243274418843e-61,0.0,0.9999999999989999
plot_19,WD_AM,G6,0.0,1.105720275700858e-18,0.0,0.0,8.611378514199423e-36,0.9999999999989999,0.0
plot_190,WD_AM,G6,0.0,8.00889440967208e-18,0.0,0.0,3.129802687609916e-36,0.9999999999989999,0.0
plot_19008,WD_AM,G2,0.0,0.9999999999989999,0.0,0.0,3.78582071256845e-30,0.0,0.0
plot_19009,WD_AM,G7,0.0,4.1397813983963755e-30,0.0,0.0,2.8967569456280013e-58,0.0,0.9999999999989999
plot_19013,WD_AM,G7,0.0,2.2224455228018296e-30,0.0,0.0,5.746375103033602e-58,0.0,0.9999999999989999
plot_19014,WD_AM,G7,0.0,6.383163719633677e-30,0.0,0.0,5.869991712360655e-58,0.0,0.9999999999989999
plot_19015,WD_AM,G7,0.0,0.0,0.0,0.0,1.452108436168982e-61,0.0,0.9999999999989999
plot_19016,WD_AM,G2,0.0,0.9999999999989999,0.0,0.0,5.60625080434624e-24,0.0,0.0
plot_19017,WD_AM,G7,0.0,0.0,0.0,0.0,1.5751578639167376e-61,0.0,0.9999999999989999
plot_19018,WD_AM,G7,0.0,4.1721089328501084e-23,0.0,0.0,2.22045680574875e-53,0.0,0.9999999999989999
plot_19019,WD_AM,G7,0.0,8.934607057785681e-24,0.0,0.0,8.135752390055521e-54,0.0,0.9999999999989999
plot_19036,WD_AM,G3,0.0,4.853715042933354e-28,0.9999999999991789,0.0,2.0486730048267424e-44,8.747509386867032e-15,0.0
plot_19039,WD_AM,G3,5.480918142520811e-09,0.0,0.9999999945182694,0.0,2.2241308387096464e-46,0.0,0.0
plot_19046,WD_AM,G7,0.0,1.4794660169185617e-30,0.0,0.0,2.651581661612645e-60,0.0,0.9999999999989999
plot_19047,WD_AM,G7,0.0,6.869298210398889e-30,0.0,0.0,9.216835856761864e-60,0.0,0.9999999999989999
plot_19048,WD_AM,G7,0.0,0.0,0.0,0.0,7.559592445136872e-24,0.0,0.9999999999989999
plot_19049,WD_AM,G7,0.0,8.777851290651063e-30,0.0,0.0,3.848490690651192e-58,0.0,0.9999999999989999
plot_19050,WD_AM,G7,0.0,3.951261060640699e-25,0.0,0.0,1.3856733679577016e-54,0.0,0.9999999999989999
plot_19054,WD_AM,G2,0.0,0.9999999999989999,0.0,0.0,5.283184060197366e-18,0.0,0.0
plot_19055,WD_AM,G3,8.842580842178654e-10,0.0,0.9999999991149295,0.0,1.003644644120865e-47,0.0,0.0
plot_19068,WD_AM,G7,0.0,1.419624143755464e-30,0.0,0.0,2.9062904988653518e-58,0.0,0.9999999999989999
plot_19069,WD_AM,G7,0.0,2.6340550579881743e-32,0.0,0.0,1.1308207290250766e-58,0.0,0.9999999999989999
plot_19070,WD_AM,G2,0.0,0.9999999999989999,0.0,0.0,7.940785027683327e-29,0.0,0.0
plot_19071,WD_AM,G7,0.0,6.078184316099208e-23,0.0,0.0,2.538559886459768e-51,0.0,0.9999999999989999
plot_19072,WD_AM,G2,1.8817974013118175e-06,0.9999980941964252,0.0,0.0,1.9018094773685664e-17,2.4005173466167356e-08,0.0
plot_19073,WD_AM,G7,0.0,1.8257416926415454e-31,0.0,0.0,6.639486321527725e-59,0.0,0.9999999999989999
plot_19074,WD_AM,G2,0.0,0.9999999999989999,0.0,0.0,2.9828463236658368e-28,0.0,0.0
plot_19075,WD_AM,G7,0.0,0.0,0.0,0.0,1.1141017470998025e-60,0.0,0.9999999999989999
plot_19076,WD_AM,G7,0.0,0.0,0.0,0.0,5.9521955502012e-61,0.0,0.9999999999989999
plot_19077,WD_AM,G7,0.0,2.292377006000008e-30,0.0,0.0,2.95884910278459e-58,0.0,0.9999999999989999
plot_19078,WD_AM,G3,0.01399801991684893,0.0,0.9860019800823411,0.0,3.4244543387745464e-41,0.0,0.0
plot_19079,WD_AM,G7,0.0,0.0,0.0,0.0,8.926497074220731e-62,0.0,0.9999999999989999
plot_19080,WD_AM,G6,0.0,2.14769525354257e-23,0.0,0.0,1.6063323406752105e-38,0.9999999999989999,0.0
plot_19081,WD_AM,G1,0.9999999999993617,0.0,0.0,0.0,2.0362719207461676e-39,0.0,0.0
plot_19082,WD_AM,G7,0.0,1.1787810339795751e-30,0.0,0.0,6.058749982941174e-60,0.0,0.9999999999989999
plot_19083,WD_AM,G6,0.0,1.5427515151869664e-21,0.0,0.0,1.0886694704149292e-36,0.9999999999989999,0.0
plot_19084,WD_AM,G6,0.0,1.3095309767421476e-22,0.0,0.0,7.735344955023171e-38,0.9999999999989999,0.0
plot_19085,WD_AM,G7,0.0,0.0,0.0,0.0,4.6790660070538e-61,0.0,0.9999999999989999
plot_19086,WD_AM,G6,0.0,3.2395292922422487e-22,0.0,0.0,1.5185386268328754e-38,0.9999999999989999,0.0
plot_19087,WD_AM,G7,0.0,1.598963989706596e-32,0.0,0.0,4.104591184130521e-60,0.0,0.9999999999989999
plot_19088,WD_AM,G7,0.0,2.5057301487909984e-30,0.0,0.0,7.814976780101675e-59,0.0,0.9999999999989999
plot_19089,WD_AM,G7,0.0,0.0,0.0,0.0,3.920252719028664e-63,0.0,0.9999999999989999
