unit_id,network_layer,function_type,probability,gap_score,stitch_score,fit_score,compatibility_weight,raw_score
plot_17062,walk,__network_total__,0.5022300259578872,,0.7319081704740994,,,0.12612446641369604
plot_17062,walk,life_service,0.2259119858005172,0.1248895860220387,0.7319081704740994,0.6206590896605501,1.0,0.056733025093839956
plot_17062,walk,public_activity,0.1642324193922201,0.13359658807090244,0.7319081704740994,0.44399695499445446,0.95,0.04124350435672874
plot_17062,walk,community_living,0.07016542892393338,0.0954729646968009,0.7319081704740994,0.4067159077205205,0.62,0.01762056592861149
plot_17062,walk,productive_mix,0.04192019184121643,0.09004903883920579,0.7319081704740994,0.4436921571825322,0.36,0.010527371034515834
plot_17062,slow,__network_total__,0.4291596495464804,,0.6018552593805641,,,0.10777438426167954
plot_17062,slow,life_service,0.1449003186342335,0.1248895860220387,0.6018552593805641,0.6206590896605501,0.78,0.03638865544938499
plot_17062,slow,public_activity,0.12225572385795859,0.13359658807090244,0.6018552593805641,0.44399695499445446,0.86,0.030701943612782206
plot_17062,slow,community_living,0.09306083813415045,0.0954729646968009,0.6018552593805641,0.4067159077205205,1.0,0.023370264514342775
plot_17062,slow,productive_mix,0.06894276892013779,0.09004903883920579,0.6018552593805641,0.4436921571825322,0.72,0.01731352068516956
plot_17062,fast,__network_total__,0.06861032449563265,,0.1705181163806595,,,0.01723003428753145
plot_17062,fast,life_service,0.014737073030949142,0.1248895860220387,0.1705181163806595,0.6206590896605501,0.28,0.003700904717879186
plot_17062,fast,public_activity,0.0209436591051767,0.13359658807090244,0.1705181163806595,0.44399695499445446,0.52,0.005259557758126259
plot_17062,fast,community_living,0.005800535739489978,0.0954729646968009,0.1705181163806595,0.4067159077205205,0.22,0.0014566820724456091
plot_17062,fast,productive_mix,0.027129056620016825,0.09004903883920579,0.1705181163806595,0.4436921571825322,1.0,0.006812889739080395
plot_16703,walk,__network_total__,0.5038535561388523,,0.7998392686797811,,,0.15750244432354635
plot_16703,walk,life_service,0.22694388905140675,0.12483855197111848,0.7998392686797811,0.7104769915372346,1.0,0.07094167901444334
plot_16703,walk,public_activity,0.18338874230435986,0.13417347239682284,0.7998392686797811,0.5622929716046393,0.95,0.05732652835816784
plot_16703,walk,community_living,0.06316534648189678,0.09560827551540048,0.7998392686797811,0.4164587162042316,0.62,0.019745214350934924
plot_16703,walk,productive_mix,0.030355578301188887,0.09065595865403027,0.7998392686797811,0.36351296348167356,0.36,0.00948902260000023
plot_16703,slow,__network_total__,0.42923403048548797,,0.6790016988021369,,,0.13417670306107995
plot_16703,slow,life_service,0.15027309603510103,0.12483855197111848,0.6790016988021369,0.7104769915372346,0.78,0.04697472043855712
plot_16703,slow,public_activity,0.1409339605040628,0.13417347239682284,0.6790016988021369,0.5622929716046393,0.86,0.044055347029188854
plot_16703,slow,community_living,0.08648789592968723,0.09560827551540048,0.6790016988021369,0.4164587162042316,1.0,0.02703574252351264
