unit_id,morph_state,p_M1,p_M2,p_M3,p_M4,p_M5,p_M6,p_M7,building_coverage,avg_height,road_density,green_blue_ratio,heritage_ratio,barrier_index,permeability_index,edge_conductance_mean
plot_10549,M1 风貌占比高·覆盖中高·渗透偏高,0.999999992368762,1.1466135461024543e-10,0.0,7.516492724778845e-09,2.1203642635588073e-30,8.418075232592283e-14,0.0,0.5163553924452409,16.471787333184665,0.0081550070241199,0.0,1.0,0.0,0.2525447952100773,0.5315913542628932
plot_19877,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999979823038,3.4159995487299245e-11,0.0,1.983383985005056e-09,1.8241240579316377e-24,1.528285986138177e-13,0.0,0.604327219727791,21.39514513435051,0.0,0.0,1.0,0.8333333333333334,0.2806110356856734,0.5996499867089038
plot_11486,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999998620126,3.463882524819329e-19,0.0,1.8521051830084133e-11,1.1912230869612634e-10,3.4406083216280373e-13,0.0,0.3918227043674079,20.294032999845037,0.0,0.0,0.9999999999999998,0.0,0.2312527959000147,0.4897878936666994
plot_10346,M1 风貌占比高·覆盖中高·渗透偏高,0.9999015718798404,3.1063469794828764e-08,0.0,1.7986403572122518e-07,9.821718794332166e-05,4.710903429711935e-12,0.0,0.2579327056221901,28.46920509487264,0.0,0.0,0.9999999999999998,0.0,0.2577191065204954,0.5495109033788788
plot_10551,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999954399286,9.71015855045242e-11,0.0,4.462886111289212e-09,1.1481687413573605e-19,8.417583883773439e-14,0.0,0.5107588329566444,17.667760417764924,0.0,0.0,1.0,0.0,0.2645656255275287,0.5641977233945082
plot_11760,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999963281976,1.9252781129021344e-10,0.0,3.4791395637309044e-09,1.822747778210315e-17,1.347451194637515e-13,0.0,0.4800873305213609,16.41148931899813,0.0,0.0,1.0,0.0,0.2509687850938736,0.5331950779863859
plot_10938,M1 风貌占比高·覆盖中高·渗透偏高,0.999999904305904,3.7149653966944802e-09,0.0,1.2265227834609024e-08,7.971241308874795e-08,1.489881704293595e-12,0.0,0.3384513296330658,28.101377457067677,0.0,0.0,1.0000000000000002,0.6666666666666666,0.2943123096762632,0.625618762243548
plot_10550,M1 风貌占比高·覆盖中高·渗透偏高,0.999999999814526,5.863543551147559e-11,0.0,1.26502158985678e-10,1.3710508873150172e-20,3.359320753734685e-13,0.0,0.531213804000287,17.195129059444017,0.0,0.0,1.0,0.0,0.2255088138155164,0.4769503362567031
plot_10384,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999998246674,2.60072374058532e-20,0.0,1.7513410427727884e-10,1.922131492253236e-35,1.9892740899508334e-13,0.0,0.6899981791012249,11.006464220846642,0.0,0.0,1.0,3.75,0.1911045007046433,0.3977651682325407
plot_12551,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999796339468,2.655157733721065e-17,0.0,2.0351736478033828e-08,2.2155208760360733e-19,1.4316771415943289e-11,0.0,0.558314474471639,18.75575475309528,0.0,0.0,1.0000000000000002,10.0,0.1319577764788963,0.270617919953103
plot_10383,M1 风貌占比高·覆盖中高·渗透偏高,0.999999999370046,3.148748117016108e-17,0.0,6.294509012084406e-10,5.430973204779853e-22,5.033344556534633e-13,0.0,0.5743985480167154,17.436982024674673,0.0,0.0,0.999999999995298,4.6,0.2022852066538658,0.4218866258974797
plot_12550,M2 渗透高·连通高·阻隔中高,1.0616059152429818e-32,0.9998701542884808,0.0,7.160674654907803e-40,2.626448153565734e-37,0.0001298457115189,0.0,0.3825977870647234,16.94531032242068,0.0,0.0251343968065841,1.0,10.75,0.1285678438661821,0.2608866391470713
plot_10428,M5 覆盖低·建筑高·阻隔高,2.507005824672689e-09,3.427680162767801e-10,0.0,1.21537008891764e-07,0.9999998638315604,1.1781656506052405e-08,0.0,0.1794815489741902,49.42405793560664,0.0,0.0,0.9999999999999998,12.666666666666666,0.1526155759413892,0.2880576872771613
plot_16668,M6 蓝绿高·路网密·覆盖低,0.0,2.494520477017077e-09,0.0,0.0,0.0,0.99999999750548,0.0,9.819004049988258e-05,17.375899636599964,0.0090616115721545,0.6683844713737642,0.9999999999999996,9.333333333333334,0.181601482744716,0.3549217082099153
