unit_id,t_id,mob_state,p_R1,p_R2,p_R3,p_R4,p_R5,p_R6,p_R7,road_centrality,population_density,traffic_intensity,congestion_proxy,bottleneck_index,func_state,p_F1,p_F2,p_F3,p_F4,p_F5,p_F6,poi_entropy,food_density,retail_density,office_density,residential_service_density,public_service_density,entertainment_density,transport_service_density,dianping_heat,meituan_heat,avg_rating,housing_price,aoi_dominant_function,ai_interface_vitality,landuse_mix,service_accessibility,station_proximity,p_F7,morph_state,p_M1,p_M2,p_M3,p_M4,p_M5,p_M6,p_M7,barrier_index,accessibility_index,poi_density,stay_proxy,green_blue_ratio,building_coverage,edge_conductance_mean,dist_to_station,site_z_iface_residential,site_z_stack_barrier,site_z_expanse_disused
plot_16478,WE_PM,7,5.2242910746391576e-27,0.0,3.373754849390918e-57,3.1296522160211784e-21,0.0,1.3006293366751497e-59,1.0,0.3858930546127137,349.2984975179037,0.0,0.0,1.1087501974698566,F4,0.0,0.0,0.0,1.0,0.0,0.0,-1.000088900581841e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,UNKNOWN,0.0,0.0,0.8250891810380943,0.0125165939380365,0.0,M4 路网密·覆盖中高·风貌低,0.0,8.213065621417902e-17,0.0,0.9999820034973858,1.8834672762121264e-161,1.7996502614569937e-05,0.0,2.128571428571429,0.1091300218024287,0.0088362192252983,0.0,0.0,0.5251658901296878,0.3896886150334289,3504.56,3.907100590321481e-35,4.985048718298992e-05,2.247168060076129e-20
plot_16479,WE_PM,5,1.63019574830978e-32,1.2001838392375394e-50,7.813643697936405e-69,4.24341397238235e-27,0.99999934605868,6.180067853465067e-66,6.539413188411551e-07,0.3858930546127137,323.30352783203125,0.0,0.0,0.2573216260412851,F4,0.0,0.0,0.0,1.0,0.0,0.0,-1.000088900581841e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,UNKNOWN,0.0,0.0,0.8422086650639076,0.0127523781908338,0.0,M6 蓝绿高·路网密·覆盖低,0.0,2.892381720457751e-130,0.0,1.7269559834013675e-38,0.0,1.0,0.0,0.0,0.358657858357547,0.0053021424074576,0.0,0.0,0.0293197076919968,0.4316014310008083,3489.63,9.594551283862308e-35,5.060769349231497e-05,3.233610910477296e-20
plot_1652,WE_PM,3,7.34739043736517e-05,0.0,0.9999265260956262,1.41405522503911e-19,0.0,1.0631935218535469e-23,0.0,0.333340068970198,349.2984975179037,23343.257447321663,38906.215237396456,1.8047685118273409,F4,0.0,0.0,0.0,1.0,0.0,0.0,-1.000088900581841e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0017397859883456,0.0,0.0,3.5,0.0,UNKNOWN,0.0,0.0,0.920938059290293,0.0147627228779158,0.0,M3 建成主体·路网稀·风貌无,0.0,7.702072866034796e-09,0.999999821428057,6.854367078189519e-08,1.023260201957653e-07,1.7957386766976477e-13,0.0,4.0,-0.4579462812100405,0.0017397859883456,0.0,0.0012706726615025,0.2816925170984727,0.3983928661513475,3372.52,7.358382769079711e-107,4.905690727461683e-266,9.366547075635648e-150
plot_16525,WE_PM,1,0.9999999999995226,0.0,6.2595483397594105e-52,3.2043992528987825e-15,0.0,4.743305799233824e-13,0.0,0.4564515758631899,86.60383987426758,3288.6029128369214,2289.159172477852,0.5539515758631899,F3,0.0,0.0,1.0,0.0,0.0,0.0,0.9931544166887856,0.0,0.0027475304916366,0.0003520249339625,0.0061067496089579,0.0003017244269671,0.0,0.0,0.0,0.0,11.666666666666666,0.0,UNKNOWN,0.0,0.0,0.9591967205553632,0.17747509318446,0.0,M3 建成主体·路网稀·风貌无,0.0,4.2425850831985956e-10,0.9999965785468732,3.4210288672257484e-06,1.8643850232305843e-29,1.4732940410892033e-15,0.0,0.525,0.3154769454343992,0.0440830850064824,0.0,0.0,0.6341253350054602,0.5809538908687985,1383.14,9.692645704545442e-21,3.780447014411795e-30,3.193437280618784e-12
plot_16526,WE_PM,1,0.9999999999999992,0.0,4.233706799246544e-89,9.19068063962853e-16,0.0,1.428791227218371e-26,0.0,0.4861787858718934,92.52147674560548,6211.960883761296,7879.777030006075,1.047996967690075,F6,0.0,0.0,0.0,0.0,0.0,1.0,0.9412436080704394,0.0,0.0,0.0,0.0,0.0007455016579541,0.0023579613322334,0.0,0.0,0.0,4.5,0.0,UNKNOWN,0.0,0.0,0.9448273389342572,0.1969387524210506,0.0,M3 建成主体·路网稀·风貌无,0.0,5.842240919349694e-10,0.9999994433529076,5.560628678921851e-07,1.4037233277182234e-24,8.67420916636065e-16,0.0,1.609090909090909,0.2463571789975789,0.0202630578395655,0.0,0.0,0.5483225001797525,0.6018052670860671,1299.89,5.900355757470633e-20,1.2718612202918447e-28,1.1695288901944766e-11
plot_16615,WE_PM,1,1.0,0.0,1.2591189261326632e-112,1.214420486691297e-16,0.0,1.161734234484301e-33,0.0,0.4803711314209815,349.2984975179037,28036.982228165733,25664.321155438087,0.7425933536432038,F1,1.0,0.0,0.0,0.0,0.0,0.0,1.4930087229170177,0.0,0.0,0.0,0.0,0.0111258158798619,0.0079977395557487,0.0,0.0,0.0,3.5,0.0,UNKNOWN,0.0,0.0,0.9945733958168111,0.1860178764390183,0.0,M3 建成主体·路网稀·风貌无,0.0,1.702203741774856e-11,0.9999999734458744,2.6537041223948773e-08,1.9199712221288146e-15,6.003170342874339e-14,0.0,0.9055555555555556,0.2728401609057607,0.0412001608478554,0.0,0.0,0.4441488273357051,0.5012358773670771,1345.53,6.061363509666366e-22,4.069821241749499e-32,3.084061180785849e-13
plot_16618,WE_PM,1,1.0,0.0,2.301775032584852e-116,1.6304326696965763e-16,0.0,1.900489611657244e-37,0.0,0.4803711314209815,349.2984975179037,19695.15051050588,27909.89611600278,1.1478710189209815,F1,1.0,0.0,0.0,0.0,0.0,0.0,0.807831926735302,0.0,0.0,0.0,0.0,0.0,0.0143434460345132,0.0,0.0,0.0,3.5,0.0,UNKNOWN,0.0,0.0,0.9378056035639986,0.2041475014676486,0.0,M3 建成主体·路网稀·风貌无,0.0,2.4794530610885017e-10,0.9999999485920196,5.11600266475473e-08,4.8665118218147584e-21,9.242222262388135e-15,0.0,1.95,0.1492708334178378,0.0818315347033018,0.0,0.0,0.4854068195628077,0.4485414168356758,1271.13,7.459784071773695e-20,2.4579948156053615e-28,1.3520685041812111e-11
plot_16619,WE_PM,7,5.500936420864186e-25,0.0,1.278056872415999e-105,3.520140354466558e-20,0.0,7.836926206314682e-71,1.0,0.4948063499480126,349.2984975179037,0.0,0.0,0.6048063499480126,F5,0.0,0.0,0.0,0.0,1.0,0.0,-1.000088900581841e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,UNKNOWN,0.0,0.0,0.8381202710505647,0.1965698382253998,0.0,M3 建成主体·路网稀·风貌无,0.0,1.0574770810917508e-19,0.999999994117923,5.881920511992153e-09,2.077845561376957e-37,1.557074013289091e-13,0.0,0.65,0.282663554007534,0.0021677478919962,0.0,0.0,0.7535199369520524,0.4986604413484014,1301.39,4.406306597109049e-18,1.8820084342801764e-25,3.6926098128035647e-10
plot_16620,WE_PM,7,9.325586901072803e-25,0.0,5.266570426706596e-116,5.70832048661421e-20,0.0,3.849602098417463e-74,1.0,0.4904946873848461,349.2984975179037,0.0,0.0,0.5838280207181794,F4,0.0,0.0,0.0,1.0,0.0,0.0,1.028569628012253,0.0,0.0,0.0,0.0087230303291326,0.0,0.0,0.0,0.0,0.0,3.5,0.0,UNKNOWN,0.0,0.0,0.8368853885292563,0.1992938321118863,0.0,M3 建成主体·路网稀·风貌无,0.0,1.1130077304270947e-11,0.9999997842319746,2.1575689341547654e-07,7.790674481345299e-32,1.4504015111937558e-15,0.0,0.4833333333333333,0.2715853666735699,0.0230904060405262,0.0,0.0,0.6433434929301365,0.4987262889026955,1290.38,2.459027567811672e-18,7.212772782829744e-26,2.2676970044447252e-10
plot_16631,WE_PM,1,0.9999999999999994,0.0,2.804069731024352e-49,5.490400549347175e-16,0.0,4.681347336831341e-44,0.0,0.378044847893364,349.2984975179037,25141.177511506197,53021.49101872991,2.0809019907505077,F4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,UNKNOWN,0.0,0.0,0.7518760148424771,0.4327154181334726,0.0,M4 路网密·覆盖中高·风貌低,0.0,0.0045797711800083,5.214917e-318,0.995384069847982,2.8471307957324225e-05,7.68766405234236e-06,0.0,4.578571428571429,-0.531965680666621,0.0,0.0,0.0,0.3319352406401845,0.2503543529524724,670.14,1.1423218205631742e-12,0.0002579813602289442,2.8461115003757686e-07
