unit_id,step,tv_from_baseline_anchor,argmax_component,p_G1,p_G2,p_G3,p_G4,p_G5,p_G6,p_G7
plot_15635,2,2.5515510352092357e-12,1,0.0,0.9999999999966984,0.0,0.0,3.301609338664748e-12,5.214395203313547e-34,0.0
plot_15636,2,0.37806995831854345,0,0.6219300416814566,0.004959170177800711,0.009156134235115286,0.0,0.06793389728863444,2.23534157213849e-18,0.296020756616993
plot_15637,2,0.42178961962106765,4,0.07666525022541001,0.20312412183271183,0.08003907369549554,0.0,0.5782103803789324,4.676621284193194e-25,0.06196117386745026
plot_15638,2,0.10383393360031282,1,0.003879069550098926,0.896166066399111,0.0039293298333746025,0.002747722925443019,0.0401126125556265,5.4733561024723645e-17,0.05316519873634595
plot_15639,2,0.007260161479843074,1,0.0,0.9927398385201569,0.0,0.0,0.007260161479843053,2.6057402206594735e-28,3.4409223545174164e-105
plot_15643,2,0.40754895355941123,2,0.14344734177473767,0.0,0.5924510464405888,0.0,0.006876282256766451,2.446867938779447e-22,0.2572253295279071
plot_15646,2,0.006584547007713028,6,0.0,0.0,0.0,0.0,0.006584547007713007,4.633916084440829e-25,0.993415452992287
plot_15647,2,0.381491281805557,6,0.007457079768935603,0.05288220671554243,0.2986774755032876,0.0,0.022474519817791378,2.2691944888689777e-24,0.618508718194443
plot_15658,2,0.12860282661944925,1,0.056530131860386856,0.8713971733805508,0.01230243142071052,0.0,0.05842125270230032,4.107569027433182e-26,0.001349010636051587
plot_15660,2,0.37913734863836757,4,0.17106410700855743,0.15876767930679464,0.0,0.002258767408668732,0.6208626513616324,8.992748438056887e-14,0.04704679491425684
plot_15668,2,0.14056033141225183,1,0.0,0.8594396685877482,0.0036312163654303137,0.0,0.13692911504682154,1.4452920410721794e-19,1.0278588279719617e-262
plot_15669,2,0.3013890087776983,1,0.00615127318743203,0.6986109912223017,0.1321417479414374,0.0,0.16309598764882893,1.7410507233300904e-19,2.205413193290276e-283
plot_15671,2,0.3577212767073933,1,0.006430773242308713,0.6422787232906275,0.01120920375680884,0.0911512190111747,1.9802389215909724e-12,4.7835069088975915e-26,0.24893008069710004
plot_15675,2,0.010579157607739009,1,0.010578964721297079,0.9894208423920907,0.0,0.0,1.9288661230642107e-07,1.6435074849042207e-20,5.872416242292096e-283
plot_15678,2,0.10948728515451746,1,0.0,0.8905127148454826,0.0,0.0,0.10948728515451747,2.139565862789626e-22,6.297654443e-314
plot_15679,2,0.13557152745714454,1,0.016653061669939326,0.8644284725428555,0.0,0.0023327405003371864,0.05972310205815699,0.05686262322871103,0.0
plot_15688,2,0.10383393359928728,1,0.0038790695500989262,0.8961660663985381,0.003929329833374603,0.0027477229254430193,0.04011261255619936,5.473356102472365e-17,0.05316519873634596
plot_15695,2,0.27678935706615443,1,0.0,0.7232106429337374,0.024916929170877008,0.0008372629151402728,0.2510351649802454,1.6559097017151258e-25,2.059894634846414e-104
