unit_id,t_id,func_state,p_F0,p_F1,p_F2,p_F3,p_F4,p_F5,poi_density,poi_entropy,food_density,retail_density,office_density,residential_service_density,public_service_density,entertainment_density,transport_service_density,dianping_heat,meituan_heat,avg_rating,housing_price,aoi_dominant_function,service_accessibility,station_proximity
plot_10605,WE_NT,F4,0.0,0.0,0.0,0.0,1.0,0.0,0.1306572649907363,1.0670895187790832,0.0437225606041474,0.0532955346032112,0.0003465943472386,0.0001334371532339,1.6590192200710234e-05,0.0,0.0009674575078586,0.0,0.0,3.5,69257.0,UNKNOWN,0.9673691792625444,0.0219426071564165
plot_10646,WD_AM,F5,0.0,0.0,0.0,0.0,0.0,1.0,0.122585500581707,1.9020550207648028,0.0,0.0097435578729604,0.0114157287524562,0.0,0.0622300715754412,0.0,0.0,0.0,0.0,3.75,101000.0,UNKNOWN,0.9614084988101566,0.0221019928569783
plot_10646,WD_PM,F5,0.0,0.0,0.0,0.0,0.0,1.0,0.118818986277609,1.9020550207648028,0.0,0.0154569060562693,0.0092546915329011,0.0,0.0581951979707479,0.0,0.0,0.0,0.0,3.75,101000.0,UNKNOWN,0.9614084988101566,0.0221019928569783
plot_10646,WD_EVE,F5,0.0,0.0,0.0,0.0,0.0,1.0,0.0795442232133311,1.9020550207648028,0.0,0.0143819945859902,0.006410029205234,0.0,0.0281297577259563,0.0,0.0,0.0,0.0,3.75,101000.0,UNKNOWN,0.9614084988101566,0.0221019928569783
plot_10646,WD_NT,F2,0.0,0.0,1.0,0.0,0.0,0.0,0.0791681265891925,1.9020550207648028,0.0,0.0151382410849324,0.0024614845099509,0.0,0.0197821809608251,0.0,0.0,0.0,0.0,3.75,101000.0,UNKNOWN,0.9614084988101566,0.0221019928569783
plot_10646,WE_AM,F5,0.0,0.0,0.0,0.0,0.0,1.0,0.1184538397963036,1.9020550207648028,0.0,0.009920465351462,0.0088700511972323,0.0,0.06046718086676,0.0,0.0,0.0,0.0,3.75,101000.0,UNKNOWN,0.9614084988101566,0.0221019928569783
plot_10646,WE_MD,F5,0.0,0.0,0.0,0.0,0.0,1.0,0.1189472484199335,1.9020550207648028,0.0,0.0161139909764181,0.0085906017358861,0.0,0.0578840996103924,0.0,0.0,0.0,0.0,3.75,101000.0,UNKNOWN,0.9614084988101566,0.0221019928569783
plot_10646,WE_EVE,F5,0.0,0.0,0.0,0.0,0.0,1.0,0.0794228666615613,1.9020550207648028,0.0,0.014533629567563,0.0062993475723982,0.0,0.0278186593656008,0.0,0.0,0.0,0.0,3.75,101000.0,UNKNOWN,0.9614084988101566,0.0221019928569783
plot_10646,WE_NT,F2,0.0,0.0,1.0,0.0,0.0,0.0,0.0791620075485461,1.9020550207648028,0.0,0.0157953260050812,0.0022401212442793,0.0,0.0187451864263067,0.0,0.0,0.0,0.0,3.75,101000.0,UNKNOWN,0.9614084988101566,0.0221019928569783
plot_10604,WD_AM,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0379777991738935,2.249687630664561,4.3831051347277085e-05,0.0061027360921794,0.000733341134248,0.0113626193263365,5.507594454497676e-05,0.0025503383201865,0.0003698055029498,0.0,0.0,14.166666666666666,125000.0,UNKNOWN,0.9475925700469592,0.0228958410145754
plot_10604,WD_PM,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0388615662115161,2.249687630664561,9.454826366833576e-05,0.0096812088246324,0.0005945171029395,0.0088146252910059,5.150493025442312e-05,0.0040874397203409,0.0001818696861824,0.0,0.0,14.166666666666666,125000.0,UNKNOWN,0.9475925700469592,0.0228958410145754
plot_10604,WD_EVE,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0364828895900323,2.249687630664561,7.415622182023067e-05,0.0090079536224671,0.0004117773109244,0.0086631123874406,2.4895889356325538e-05,0.0050297040829371,0.0001773048520647,0.0,0.0,14.166666666666666,125000.0,UNKNOWN,0.9475925700469592,0.0228958410145754
plot_10604,WD_NT,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0581724650030386,2.249687630664561,0.0001319651292623,0.0094816176437469,0.0001581246262594,0.0226959019522266,1.7507971210611225e-05,0.0076070976218416,0.0002126955024754,0.0,0.0,14.166666666666666,125000.0,UNKNOWN,0.9475925700469592,0.0228958410145754
plot_10604,WE_AM,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0381524688720995,2.249687630664561,4.5682613756915646e-05,0.0062135395243655,0.0005698079857072,0.0114691167030705,5.351572022814508e-05,0.0026868846961217,0.0003538698267486,0.0,0.0,14.166666666666666,125000.0,UNKNOWN,0.9475925700469592,0.0228958410145754
plot_10604,WE_MD,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0397723249333573,2.249687630664561,9.739682122162586e-05,0.0100927644298952,0.000551856281581,0.0089211226677399,5.122959655145283e-05,0.0043284039131677,0.00018283548474,0.0,0.0,14.166666666666666,125000.0,UNKNOWN,0.9475925700469592,0.0228958410145754
plot_10604,WE_EVE,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0367426386699258,2.249687630664561,7.51532169638822e-05,0.0091029279929123,0.0004046671740314,0.0087163610758075,2.462055565335524e-05,0.0050859290612633,0.0001753732549494,0.0,0.0,14.166666666666666,125000.0,UNKNOWN,0.9475925700469592,0.0228958410145754
plot_10604,WE_NT,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0592224975068472,2.249687630664561,0.0001358106819593,0.0098931732490097,0.0001439043524733,0.0228290236731441,1.6590192200710234e-05,0.007872158233951,0.0002097981068025,0.0,0.0,14.166666666666666,125000.0,UNKNOWN,0.9475925700469592,0.0228958410145754
plot_10552,WD_AM,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0137868736345573,1.966552156162032,0.0016822827072327,0.0012450020624739,0.0004820125948106,0.0015586928806392,5.507594454497676e-05,0.0,0.0043814895175895,0.0,0.0,3.6666666666666665,69257.0,UNKNOWN,0.901890725670466,0.0237493527857291
plot_10552,WD_PM,F4,0.0,0.0,0.0,0.0,1.0,0.0,0.0134253018188764,1.966552156162032,0.0036288636498334,0.0019750362414252,0.000390765931521,0.0012091660639152,5.150493025442312e-05,0.0,0.0021548087230163,0.0,0.0,3.6666666666666665,69257.0,UNKNOWN,0.901890725670466,0.0237493527857291
plot_10552,WD_EVE,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.011692275546794,1.966552156162032,0.0028461952375604,0.0018376873371622,0.0002706541892353,0.0011883819403491,2.4895889356325538e-05,0.0,0.0021007241497027,0.0,0.0,3.6666666666666665,69257.0,UNKNOWN,0.901890725670466,0.0237493527857291
plot_10552,WD_NT,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0174260201937093,1.966552156162032,0.0050649630362938,0.0019343182047772,0.0001039326145054,0.0031133614333647,1.7507971210611225e-05,0.0,0.0025200358218065,0.0,0.0,3.6666666666666665,69257.0,UNKNOWN,0.901890725670466,0.0237493527857291
plot_10552,WE_AM,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0135972971766673,1.966552156162032,0.0017533476561069,0.0012676067596977,0.0003745250510407,0.0015733018979929,5.351572022814508e-05,0.0,0.0041926821643344,0.0,0.0,3.6666666666666665,69257.0,UNKNOWN,0.901890725670466,0.0237493527857291
