date,temperature_2m,apparent_temperature,rain,wind_speed_10m
20170516 00:00:00,16.6935,17.073175,0.0,5.4477882
20170516 01:00:00,16.4935,17.025267,0.0,5.0142193
20170516 02:00:00,16.4935,16.809036,0.0,6.130579
20170516 03:00:00,16.293499,16.700716,0.0,5.991594
20170516 04:00:00,16.3435,16.706097,0.0,6.297428
20170516 05:00:00,16.6435,16.620361,0.0,7.968939
20170516 06:00:00,17.1435,16.816345,0.0,9.6932955
20170516 07:00:00,17.793499,17.580587,0.0,9.387651
20170516 08:00:00,19.0935,18.037027,0.0,13.979872
20170516 09:00:00,19.5935,17.964191,0.7,15.629971
20170516 10:00:00,20.3935,17.717842,0.1,17.072504
20170516 11:00:00,20.043499,17.357094,0.0,15.629971
20170516 12:00:00,21.1935,19.377058,0.0,12.0694
20170516 13:00:00,21.9435,21.309322,0.0,12.10157
20170516 14:00:00,21.8435,20.818668,0.0,14.336861
20170516 15:00:00,21.1935,19.867456,0.0,15.141414
20170516 16:00:00,20.543499,18.499866,0.0,14.003029
20170516 17:00:00,19.7435,18.041752,0.0,11.367109
20170516 18:00:00,18.3935,17.80601,0.0,8.049845
20170516 19:00:00,16.1935,16.035315,0.0,7.5942073
20170516 20:00:00,15.2435,14.52187,0.0,9.085988
20170516 21:00:00,14.6935,14.066256,0.0,7.8954163
20170516 22:00:00,13.7935,13.2051735,0.0,7.2
20170516 23:00:00,13.0435,12.546219,0.0,6.151683
20170517 00:00:00,12.393499,11.848768,0.0,6.162207
20170517 01:00:00,12.1935,11.878208,0.0,4.6938252
20170517 02:00:00,12.643499,12.669943,0.0,3.4152596
20170517 03:00:00,12.393499,12.677248,0.0,2.3051248
20170517 04:00:00,11.893499,12.029854,0.0,3.096837
20170517 05:00:00,11.3435,11.233902,0.0,3.6
20170517 06:00:00,12.393499,12.576004,0.0,3.219938
20170517 07:00:00,16.4435,17.12274,0.0,3.7585104
20170517 08:00:00,18.9935,19.273409,0.0,3.096837
20170517 09:00:00,21.2435,21.772518,0.0,1.609969
20170517 10:00:00,22.7435,24.066566,0.0,2.4149535
20170517 11:00:00,23.8435,25.027273,0.0,6.379216
20170517 12:00:00,24.4435,25.24395,0.0,9.531505
20170517 13:00:00,24.7435,24.94609,0.0,11.609651
20170517 14:00:00,24.6435,24.104643,0.0,13.039754
20170517 15:00:00,24.293499,22.966976,0.0,13.679999
20170517 16:00:00,23.5935,21.53091,0.0,13.708391
20170517 17:00:00,22.543499,20.6766,0.0,12.879752
20170517 18:00:00,20.293499,19.400574,0.0,10.799999
20170517 19:00:00,17.293499,16.486858,0.0,10.44
20170517 20:00:00,16.293499,15.716656,0.0,10.464797
20170517 21:00:00,15.9435,15.627892,0.0,10.703569
20170517 22:00:00,15.5935,15.408266,0.0,10.799999
20170517 23:00:00,15.4935,15.470856,0.0,10.1887
20170518 00:00:00,15.2435,15.308004,0.0,9.339208
20170518 01:00:00,14.8435,14.837389,0.0,9.19939
20170518 02:00:00,14.5435,14.434349,0.0,9.290511
20170518 03:00:00,14.393499,14.154699,0.0,9.693296
20170518 04:00:00,14.143499,13.827114,0.0,9.387651
20170518 05:00:00,13.8435,13.441368,0.0,9.387651
20170518 06:00:00,15.7935,15.938438,0.0,8.161764
20170518 07:00:00,18.5935,18.858273,0.0,9.885262
20170518 08:00:00,21.0935,20.767824,0.0,13.53236
20170518 09:00:00,22.8935,22.911728,0.0,14.986553
20170518 10:00:00,24.0935,24.56937,0.0,15.978484
20170518 11:00:00,25.0935,25.851028,0.0,16.1198
20170518 12:00:00,25.7435,26.4649,0.0,16.62249
20170518 13:00:00,26.0935,26.565672,0.0,16.45007
20170518 14:00:00,26.1435,26.036585,0.0,17.072504
20170518 15:00:00,25.6435,24.823038,0.0,17.399586
20170518 16:00:00,24.793499,23.050156,0.0,17.782686
20170518 17:00:00,23.4935,21.920988,0.0,16.575644
20170518 18:00:00,21.3435,20.74455,0.0,13.493999
20170518 19:00:00,18.6435,18.138447,0.0,12.984975
20170518 20:00:00,17.8435,17.228186,0.0,13.493999
20170518 21:00:00,17.543499,16.915588,0.0,13.830749
20170518 22:00:00,17.3435,16.650993,0.0,14.77755
20170518 23:00:00,16.9935,16.411236,0.0,13.896187
20170519 00:00:00,16.6435,16.061584,0.0,13.392774
20170519 01:00:00,16.1935,15.539373,0.0,13.392774
20170519 02:00:00,16.4435,15.800909,0.0,13.684735
20170519 03:00:00,16.543499,16.095455,0.0,12.599998
20170519 04:00:00,16.3935,15.980345,0.0,12.738099
20170519 05:00:00,16.4435,16.081327,0.0,12.768586
20170519 06:00:00,17.5935,17.326048,0.0,13.276144
20170519 07:00:00,19.543499,19.358194,0.0,13.896187
20170519 08:00:00,21.5935,20.580294,0.0,19.164717
20170519 09:00:00,22.5935,21.129128,0.0,20.945072
20170519 10:00:00,23.1435,21.717688,0.0,20.037485
20170519 11:00:00,24.2435,23.621601,0.0,20.140705
20170519 12:00:00,24.793499,23.767345,0.0,20.61766
20170519 13:00:00,25.1935,24.29512,0.0,19.486609
20170519 14:00:00,25.2435,24.18655,0.0,17.873556
20170519 15:00:00,24.543499,23.286186,0.0,18.11841
20170519 16:00:00,23.3935,22.420639,0.0,18.089775
20170519 17:00:00,22.5935,21.752726,0.0,17.581125
20170519 18:00:00,20.9435,20.645449,0.0,14.529915
20170519 19:00:00,19.6435,19.222094,0.0,14.982228
20170519 20:00:00,19.0935,18.48421,0.0,17.208603
20170519 21:00:00,19.3435,18.590517,0.0,18.328207
20170519 22:00:00,19.293499,18.732468,0.0,17.283749
20170519 23:00:00,19.0935,18.685066,0.0,16.92383
20170520 00:00:00,19.1435,19.123236,0.0,15.379206
20170520 01:00:00,18.8435,18.99639,0.0,14.904173
20170520 02:00:00,19.0935,19.204918,0.0,16.199999
20170520 03:00:00,18.6935,18.920547,0.0,15.408671
20170520 04:00:00,18.7435,19.066185,0.0,15.192682
20170520 05:00:00,18.6435,18.829012,0.0,15.986593
20170520 06:00:00,19.6435,20.031805,0.0,15.629971
20170520 07:00:00,21.1435,21.521496,0.0,16.904673
20170520 08:00:00,23.1435,22.980232,0.0,21.53089
20170520 09:00:00,24.3435,24.405043,0.0,21.868332
20170520 10:00:00,25.3435,26.252184,0.0,21.194187
20170520 11:00:00,26.293499,28.05936,0.0,20.268991
20170520 12:00:00,26.8935,28.929974,0.0,19.809813
20170520 13:00:00,26.8935,28.746536,0.0,20.945072
20170520 14:00:00,26.3935,27.218178,0.0,21.868332
20170520 15:00:00,25.793499,25.723299,0.0,23.664352
20170520 16:00:00,25.043499,24.525799,0.0,22.870626
20170520 17:00:00,24.043499,23.743954,0.0,20.774214
20170520 18:00:00,22.6935,23.16009,0.0,16.135872
20170520 19:00:00,20.9935,21.332504,0.0,16.563911
20170520 20:00:00,20.6935,21.265182,0.0,15.273505
20170520 21:00:00,20.3935,20.942907,0.0,15.580141
