x_km_from_south,rho_km2_combined,rho_km2_combined_smooth,rho_km2_消费,rho_km2_消费_smooth,rho_km2_商务,rho_km2_商务_smooth,rho_km2_娱乐,rho_km2_娱乐_smooth,green_cover_frac,green_cover_pct_smooth,bin_center_n_m
2.433647933375556,2308.3858478782604,3503.2662761115735,1146.3010065104866,1964.889774354477,1057.5169354382458,1377.6293903027608,104.56790592952804,160.74711145433588,0.013899256587560005,7.177173276148499,3457353.6800337005
2.5523624667106195,2863.6045106963193,3372.3687246744785,1254.9170351115401,1884.4999384227294,1467.8833201725447,1333.0154838903227,140.8041554122345,154.8533023614269,0.07130927614289488,7.059784280713954,3457472.3945670356
2.671077000046149,2839.2988210211115,3319.4862441381943,1474.9604265044734,1868.164362884731,1206.5995711265762,1300.8949485138999,157.73882339006175,150.4269327395632,0.1035545817148731,7.022221871367296,3457591.109100371
2.7897915333812127,3373.782025099625,3327.6586148644164,1799.8653963324846,1903.5809911411966,1349.8990472493633,1278.5901183912486,224.01758151777705,145.48750533197074,0.04889057681026257,7.053944615808966,3457709.823633706
2.908506066716742,3954.0819311624377,3369.628355118073,2364.7645471704686,1966.2107316274942,1386.7230800984873,1264.6234131810188,202.5943038934818,138.79421030956004,0.09465853744545294,7.154389318557196,3457828.5381670417
3.0272206000522712,3337.323123791706,3420.2460871163994,2419.5912192024894,2031.0219251915637,861.4920664249751,1258.6747397962995,56.2398381642417,130.54942212853666,0.0709052390736461,7.344393431363911,3457947.2527003773
3.1459351333878005,3435.7535067792232,3463.9152374765945,2004.9301374272964,2081.563112621583,1329.510410279803,1260.2902486147102,101.31295907212402,122.06187624030113,0.012405484341530007,7.646805215606249,3458065.967233713
3.264649666722864,3545.386121398331,3495.3544817654138,2134.1834103319366,2112.782795149996,1306.9266486723259,1267.7653619018247,104.27606239406856,114.80632471359277,0.0989724935165771,8.053660831346058,3458184.681767048
3.3833642000583932,2097.7434617117397,2142.3442484733127,1044.8407095996981,1087.8213343693633,972.282326988608,975.2473548105368,80.6204251234335,79.27555929341261,0.06114041346185987,5.255991251829201,3458303.3963003834
3.5020787333934567,3025.8490772818777,2133.2824647477137,1590.7707676985262,1085.6579385448895,1298.3397159343717,971.2212523489175,136.7385936489797,76.40327385390664,0.02397966813325044,5.117756231097952,3458422.1108337184
3.620793266728986,1493.5337880357338,2118.189305826982,734.3503423358595,1075.2283325265337,727.2551699461411,970.1606511880541,31.928275753733026,72.80032211239393,0.005714359384256487,5.04552119053038,3458540.825367054
3.739507800064515,1858.8405180111702,2101.959316097579,1063.2873745002166,1056.8281103829142,725.432273489956,975.8706107857361,70.1208700209975,69.2605949289286,0.12418330442778298,5.019415029389322,3458659.5399003895
3.8582223334000445,2038.328232928559,2089.146231922127,1071.9641851485735,1032.1048842698412,904.9686190773181,990.400772249676,61.39542870266744,66.64057540260967,0.03409225337151945,4.989856308629085,3458778.254433725
3.9769368667351084,2616.8210165937426,2082.0906229234342,1304.9942928705086,1003.621233000923,1277.664569459608,1013.0522226483849,34.16215426362588,65.417167274126,0.0,4.895447634912489,3458896.96896706
4.095651400070637,1772.202252897983,2080.670591964793,741.465482919794,974.2957339525205,965.9001021892384,1040.9718484306986,64.83666778895059,65.40300958157367,0.12785937015060822,4.683730470311006,3459015.6835003956
4.214365933405701,2037.452787538278,2083.132566395236,851.9079222934295,946.8383757639012,1119.1413960166535,1070.4700578463987,66.40346922819506,65.82413278493604,0.0089441082140905,4.329025470600797,3459134.3980337307
4.33308046674123,1692.7162546832878,2086.383591299102,789.0857728598785,922.9394047786493,821.8128325637445,1097.7149299235343,81.81764925966482,65.72925659691853,0.06365532037861624,3.8435420830957803,3459253.112567066
4.45179500007676,2629.069800050478,2086.871158818956,1196.34735855508,903.1857607634761,1320.162878190485,1119.1305969883902,112.55956330491344,64.55480106708973,0.0449986942196016,3.2760142540660335,3459371.8271004017
4.570509533412289,2335.075427779654,2081.960220432583,854.1884971513255,887.6850503764617,1435.3889178934644,1131.80410200858,45.49801273486442,62.471068047541074,0.00010486064648418968,2.69665903578524,3459490.5416337373
4.689224066747353,1737.7951512929862,2071.3700907231946,679.0819094035679,876.7578325273231,1009.6229833783167,1134.3217723134485,49.0902585111013,60.29048588242275,0.000153343476003215,2.171478410192326,3459609.2561670723
4.807938600082882,1925.96365014449,2057.6383284691265,839.2654100456024,871.249138836814,1058.2769015116858,1127.3835583745354,28.421338587201674,59.005631257777054,0.03432326364126983,1.7461174200498175,3459727.970700408
4.926653133418411,2291.939291930496,2045.0073208627118,966.9313833675201,872.1793023262125,1273.8541192493394,1113.5567359348815,51.153789313636544,59.271282601617884,0.009448891913963314,1.454798325711062,3459846.6852337434
5.045367666753474,1939.4695708877794,2038.2229371902376,861.5240368535843,880.5295001002777,1021.7591838046134,1096.5183358511813,56.186350229581585,61.17510123877871,0.011753437258034318,1.3430303829537718,3459965.3997670785
5.164082200089004,1860.1628929127596,2041.388123526541,663.9229755063493,896.9943218514164,1113.7406127576924,1080.037017762693,82.49930464871795,64.35678391243158,0.0022317642857974337,1.4894853365601766,3460084.114300414
5.282796733424533,2376.242570605952,2057.2556255010422,1208.4401911722439,921.9126861103506,1088.665588153402,1067.0042861433053,79.13679128030624,68.3386532473862,0.0,2.002204677495379,3460202.8288337495
5.401511266760062,1266.236931435383,2085.5524389306843,565.5947433972196,954.2579380472453,677.9114300292915,1058.5830692457512,22.73075800887171,72.7114316376879,0.0,2.969462758499229,3460321.543367085
5.520225800095126,2729.3605918217554,2121.193466124024,1192.2777623330956,990.3751793020207,1412.4544919625523,1053.7295736884591,124.62833752610756,77.08871313354376,0.011544656176578282,4.37984111689734,3460440.25790042
5.638940333430655,1834.1183641700793,2153.6839560775175,904.2812942317646,1023.2437583264593,868.8963740226955,1049.5135816084166,60.94069591561892,80.9266161426412,0.03243436095876844,6.049316485516688,3460558.9724337556
5.757654866765719,2188.177423260618,2169.209602463179,947.1215712620585,1043.5870900053403,1177.914413914422,1042.189085545952,63.141438084137235,83.43342691188639,0.0019727542234173794,7.61550475692858,3460677.6869670907
5.8763694001012485,3031.319745036977,2154.578096400621,1748.3456839332987,1042.707623257243,1150.6206637851624,1028.1310707100413,132.3533973185159,83.73940243333602,0.22971344566072946,8.645927273370859,3460796.401500426
5.995083933436778,2019.6458316642472,2101.400148812501,1089.1283804262694,1015.8131582065818,803.6287078873444,1004.3203448286197,126.88874335063333,81.26664577729925,0.3219894743243435,8.820633430052556,3460915.1160337618
6.113798466772307,2086.8361118090565,2008.1560380409824,855.734053395915,963.6907158783619,1157.6034280601182,968.410602495496,73.49863035302337,76.05471966712456,0.017543250691723727,8.085957478820355,3461033.8305670973
6.23251300010737,1802.051842599474,1880.0968093473316,706.169909051176,892.0846991766103,1054.8596151801798,919.1857924338467,41.0223183681181,68.8263177368744,0.011201056130350249,6.674097288645278,3461152.5451004324
6.351227533442899,2179.7901303016615,1727.9533256854575,1273.1955988352886,809.5917013344377,819.8983331021022,857.634633073978,86.69619836427063,60.726991277041606,0.05688481573171983,4.9775370118104805,3461271.259633768
6.469942066777963,1622.0942902067552,1566.290335715696,547.8125453768428,725.5324343544655,1042.2667259442528,787.8311345194672,32.01501888565964,52.92676684176354,0.0,3.3690515498297096,3461389.974167103
6.5886566001134925,1013.9925950048212,1411.2338003571808,469.28582909314036,648.3701137861119,511.186349547885,716.5740115593013,33.52041636379573,46.28967501176751,0.0,2.0789743395589824,3461508.6887004385
