unit_id,worldpop_sum,worldpop_mean_pixel,worldpop_pixel_count,unit_area_m2,worldpop_density_per_km2
plot_18278,414.7807922363281,414.7807922363281,1,524.0847962068734,791438.3230316045
plot_14802,0.0,0.0,0,607.2796488837419,0.0
plot_18871,0.0,0.0,0,2236.321623581211,0.0
plot_18279,0.0,0.0,0,1268.6392067856448,0.0
plot_18874,0.0,0.0,0,1665.7819825951296,0.0
plot_18280,0.0,0.0,0,2030.7211593443922,0.0
plot_18492,0.0,0.0,0,5187.475027623684,0.0
plot_18281,465.90386962890625,465.90386962890625,1,2160.9545031263756,215600.96196141874
plot_19108,414.3116149902344,414.3116149902344,1,1384.7285340492267,299200.6048858568
plot_18870,0.0,0.0,0,2122.9200149339467,0.0
plot_18575,0.0,0.0,0,1033.5541229288224,0.0
plot_18578,0.0,0.0,0,981.4338859361636,0.0
plot_19379,0.0,0.0,0,1484.9388825857486,0.0
plot_19415,0.0,0.0,0,661.6858985376304,0.0
plot_19800,389.0122985839844,194.5061492919922,2,19703.6149430011,19743.194317861202
plot_18752,0.0,0.0,0,1863.1438344611206,0.0
plot_19008,2316.3882904052734,210.5807536732067,11,70625.19997984434,32798.3254003719
plot_19353,832.1684722900391,166.4336944580078,5,36005.108566943985,23112.51112443656
plot_17275,222.68031311035156,222.68031311035156,1,5134.880624497357,43366.21031616472
plot_18102,2721.7369689941406,194.40978349958147,14,99241.07779220931,27425.507960452687
plot_18747,0.0,0.0,0,3192.1332261304947,0.0
plot_18746,0.0,0.0,0,1828.5120821332207,0.0
plot_18528,202.24246215820312,202.24246215820312,1,3325.477553406465,60816.06593646537
plot_18354,0.0,0.0,0,1788.5608258742025,0.0
plot_18609,169.49203491210938,169.49203491210938,1,569.5332103854339,297598.1590211481
plot_17276,374.5272674560547,124.84242248535156,3,22156.597283692794,16903.645567079286
plot_17277,175.8475341796875,175.8475341796875,1,10939.823653220834,16074.073929694065
plot_10639,0.0,0.0,0,1729.2365493799755,0.0
plot_10592,0.0,0.0,0,1020.6247754022174,0.0
plot_10594,0.0,0.0,0,829.9524155213651,0.0
plot_10638,247.8959503173828,247.8959503173828,1,2925.647347354928,84731.99975434669
plot_10593,0.0,0.0,0,2512.3495106213127,0.0
plot_18610,0.0,0.0,0,1774.5228073479323,0.0
plot_6779,262.0330810546875,262.0330810546875,1,5876.676236161452,44588.653606999316
plot_18295,0.0,0.0,0,5075.862288160941,0.0
plot_18742,236.2318572998047,236.2318572998047,1,696.5829445196833,339129.5453877273
plot_18298,0.0,0.0,0,1889.2322800995005,0.0
plot_7247,246.14427185058594,246.14427185058594,1,7515.64348766142,32750.9244224644
plot_18296,0.0,0.0,0,2348.6613544922116,0.0
plot_18299,0.0,0.0,0,528.335508921672,0.0
plot_18297,0.0,0.0,0,358.1587930146726,0.0
plot_6622,242.33045959472656,242.33045959472656,1,11370.21239226519,21312.74695972932
plot_10158,212.47714233398438,212.47714233398438,1,2264.871235720414,93814.22616124987
plot_18741,680.670654296875,226.89021809895834,3,15160.712169322702,44897.010555625086
plot_16845,0.0,0.0,0,4328.672284280759,0.0
plot_6445,240.98780822753906,240.98780822753906,1,6517.645854321658,36974.67055037168
plot_10157,219.00021362304688,219.00021362304688,1,4494.84762316819,48722.500067462744
plot_7237,0.0,0.0,0,9355.870452717116,0.0
plot_7238,207.9407196044922,207.9407196044922,1,5457.863404568912,38099.289811910625
plot_10150,0.0,0.0,0,654.8477207914099,0.0
plot_19445,219.06295776367188,219.06295776367188,1,2591.4965817883535,84531.4476982639
plot_10151,0.0,0.0,0,990.0378875014721,0.0
plot_6610,0.0,0.0,0,3375.6155824115986,0.0
plot_17256,0.0,0.0,0,2181.933485898109,0.0
plot_18744,216.9024658203125,216.9024658203125,1,2414.4562685126593,89834.91175589923
plot_18361,0.0,0.0,0,2592.4468756494525,0.0
plot_19071,0.0,0.0,0,4211.933520481413,0.0
plot_18104,0.0,0.0,0,1483.755714730582,0.0
plot_18175,258.4860534667969,258.4860534667969,1,6080.775358472415,42508.73255935121
plot_18743,0.0,0.0,0,1318.6732612571209,0.0
plot_18103,0.0,0.0,0,2810.502723903642,0.0
plot_19072,239.4671173095703,239.4671173095703,1,2816.8912433185956,85011.13341793514
plot_19016,0.0,0.0,0,578.2518851654936,0.0
plot_18527,460.09564208984375,230.04782104492188,2,12100.920342817906,38021.54125929091
plot_18740,433.26670837402344,216.63335418701172,2,13033.84745916307,33241.658668440825
plot_18676,221.49232482910156,221.49232482910156,1,6045.585583077443,36637.03404498877
plot_18524,0.0,0.0,0,3868.6046932714753,0.0
plot_18359,0.0,0.0,0,1727.2921178263116,0.0
plot_19781,0.0,0.0,0,1201.1431592652775,0.0
plot_18675,227.92759704589844,227.92759704589844,1,3883.4767707103856,58691.63394125433
plot_18442,179.30624389648438,179.30624389648438,1,600.8384028709647,298426.73677266925
plot_18360,172.54148864746094,172.54148864746094,1,6905.549535161376,24985.917162554797
plot_18290,185.202392578125,185.202392578125,1,5075.409804849086,36490.13571301793
